city,consultation_fee,degree,dp_score,location,name,npv,profile_url,scraped_at,speciality,year_of_experience
Mumbai,1000,MBBS,,Vileparle West,Dr. Anuj Tiwari,,https://www.practo.com/mumbai/doctor/dr-anuj-tiwari-internal-medicine?practice_id=782581&specialization=Geriatrician&referrer=doctor_listing&page_uid=25a38a22-fb50-4271-883f-571edb223266,2025-08-17T03:23:13.274644,Geriatrician,
Mumbai,1500,MBBS,,,Dr. Amish Mhatre,,https://www.practo.com/mumbai/doctor/dr-amish-mhatre-vascular-surgeon-2/recommended?practice_id=781411&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:23:22.372599,Vascular Surgeon,
Mumbai,1000,MCh,,,Dr. Sandesh Singh,,https://www.practo.com/mumbai/doctor/sandesh-singh-1-plastic-surgeon/recommended?practice_id=1451426&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:25.561391,Plastic Surgeon,
Mumbai,1000,MCh,,Colaba,Dr. Sandesh Singh,,https://www.practo.com/mumbai/doctor/sandesh-singh-1-plastic-surgeon?practice_id=1451426&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:28.371983,Plastic Surgeon,
Mumbai,1800,MS,,,Dr. LEENA JAIN,,https://www.practo.com/mumbai/doctor/leena-jain-1-cosmetic-plastic-surgeon/recommended?practice_id=692922&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:31.404889,Plastic Surgeon,
Mumbai,1800,MS,,Mahim,Dr. LEENA JAIN,,https://www.practo.com/mumbai/doctor/leena-jain-1-cosmetic-plastic-surgeon?practice_id=692922&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:34.352552,Plastic Surgeon,
Mumbai,2000,MBBS,,Bandra West,Dr. Sudhanva Hemant Kumar,,https://www.practo.com/mumbai/doctor/sudhanva-hemant-kumar-dermatologist?practice_id=1141321&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:37.443074,Plastic Surgeon,
Mumbai,1500,MCh,98.0,,Dr. Nikunj Mody,0,https://www.practo.com/mumbai/doctor/dr-nikunj-mody/recommended?practice_id=1144300&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:40.634217,Plastic Surgeon,
Mumbai,1500,MCh,98.0,Ghatkopar West,Dr. Nikunj Mody,0,https://www.practo.com/mumbai/doctor/dr-nikunj-mody?practice_id=1144300&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:43.517674,Plastic Surgeon,
Mumbai,1500,MCh,98.0,,Dr. Sumit Agrawal,0,https://www.practo.com/mumbai/doctor/dr-sumit-agrawal-hair-transplant-surgeon/recommended?practice_id=668735&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:46.456161,Plastic Surgeon,
Mumbai,1500,MCh,98.0,Andheri West,Dr. Sumit Agrawal,0,https://www.practo.com/mumbai/doctor/dr-sumit-agrawal-hair-transplant-surgeon?practice_id=668735&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=0098f044-151c-409c-9d60-3008553a970d,2025-08-17T03:23:49.388154,Plastic Surgeon,
Mumbai,1500,MBBS,,Khar West,Dr. Amish Mhatre,,https://www.practo.com/mumbai/doctor/dr-amish-mhatre-vascular-surgeon-2?practice_id=781411&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:23:52.393600,Vascular Surgeon,
Mumbai,2000,MBBS,,,Dr. Virendra Yadav,,https://www.practo.com/mumbai/doctor/dr-virendra-yadav-vascular-surgeon/recommended?practice_id=1190028&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:23:55.559447,Vascular Surgeon,
Mumbai,2000,MBBS,,Borivali West,Dr. Virendra Yadav,,https://www.practo.com/mumbai/doctor/dr-virendra-yadav-vascular-surgeon?practice_id=1190028&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:23:58.418156,Vascular Surgeon,
Mumbai,2000,,,Mira Road,Dr. Rajiv Srivastava,,https://www.practo.com/mumbai/doctor/dr-rajiv-kumar-srivastava-cardiologist?practice_id=733683&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:01.475743,Vascular Surgeon,
Mumbai,2600,MBBS,,,Dr. Swarup Pal,,https://www.practo.com/mumbai/doctor/dr-swarup-pal-cardiac-surgeon/recommended?practice_id=725564&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:04.528401,Vascular Surgeon,
Mumbai,2600,MBBS,,Powai,Dr. Swarup Pal,,https://www.practo.com/mumbai/doctor/dr-swarup-pal-cardiac-surgeon?practice_id=725564&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:07.440833,Vascular Surgeon,
Mumbai,2000,MCh,88.0,,Dr. Aniruddha Bhuiyan,0,https://www.practo.com/mumbai/doctor/aniruddha-bhuiyan-vascular-surgeon/recommended?practice_id=692922&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:10.521322,Vascular Surgeon,
Mumbai,2000,MCh,88.0,Mahim,Dr. Aniruddha Bhuiyan,0,https://www.practo.com/mumbai/doctor/aniruddha-bhuiyan-vascular-surgeon?practice_id=692922&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:13.474704,Vascular Surgeon,
Mumbai,3900,MBBS,85.0,,Dr. Kamales Kumar Saha,0,https://www.practo.com/mumbai/doctor/kamales-kumar-saha-cardiac-surgeon/recommended?practice_id=1250608&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:17.195641,Vascular Surgeon,
Mumbai,3900,MBBS,85.0,Goregaon East,Dr. Kamales Kumar Saha,0,https://www.practo.com/mumbai/doctor/kamales-kumar-saha-cardiac-surgeon?practice_id=1250608&specialization=Vascular%20Surgeon&referrer=doctor_listing&page_uid=108180e3-feef-4bd5-aeda-50e2524ac78e,2025-08-17T03:24:19.699800,Vascular Surgeon,
Mumbai,1800,MBBS,96.0,,Dr. Sanjay Vaidya,0,https://www.practo.com/mumbai/doctor/sanjay-vaidya-cosmetic-plastic-surgeon/recommended?practice_id=692922&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:22.603813,Plastic Surgeon,
Mumbai,1800,MBBS,96.0,Mahim,Dr. Sanjay Vaidya,0,https://www.practo.com/mumbai/doctor/sanjay-vaidya-cosmetic-plastic-surgeon?practice_id=692922&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:25.527992,Plastic Surgeon,
Mumbai,1000,MBBS,98.0,,Dr. Suhas Vidyadhar Abhyankar,0,https://www.practo.com/mumbai/doctor/suhas-vidyadhar-abhyankar-cosmetic-plastic-surgeon-plastic-surgeon/recommended?practice_id=1009339&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:28.640870,Plastic Surgeon,
Mumbai,1000,MBBS,98.0,Dadar East,Dr. Suhas Vidyadhar Abhyankar,0,https://www.practo.com/mumbai/doctor/suhas-vidyadhar-abhyankar-cosmetic-plastic-surgeon-plastic-surgeon?practice_id=1009339&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:31.626275,Plastic Surgeon,
Mumbai,1100,MBBS,100.0,,Dr. Tushar Thorat,0,https://www.practo.com/mumbai/doctor/dr-tushar-thorat/recommended?practice_id=862484&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:34.629044,Plastic Surgeon,
Mumbai,1100,MBBS,100.0,Girgaon,Dr. Tushar Thorat,0,https://www.practo.com/mumbai/doctor/dr-tushar-thorat?practice_id=862484&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:37.758971,Plastic Surgeon,
Mumbai,2000,,,Mahim,Dr. Ajit Kumar Borkar,,https://www.practo.com/mumbai/doctor/dr-ajit-kumar-borkar-cosmetic-plastic-surgeon?practice_id=692922&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:40.644687,Plastic Surgeon,
Mumbai,2000,MCh,,Vileparle West,Dr. Kunal Sayani,,https://www.practo.com/mumbai/doctor/kunal-15-plastic-surgeon?practice_id=2076705&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:43.735009,Plastic Surgeon,
Mumbai,3000,DNB,99.0,,Dr. Siddharth Prakash,0,https://www.practo.com/mumbai/doctor/siddharth-prakash-cosmetic-plastic-surgeon/recommended?practice_id=649315&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:46.863266,Plastic Surgeon,
Mumbai,3000,DNB,99.0,Andheri West,Dr. Siddharth Prakash,0,https://www.practo.com/mumbai/doctor/siddharth-prakash-cosmetic-plastic-surgeon?practice_id=649315&specialization=Plastic%20Surgeon&referrer=doctor_listing&page_uid=db96353b-b0c9-4aba-9d9e-98e6f2ca6a8e,2025-08-17T03:24:49.703890,Plastic Surgeon,
